county_id,county,region,population_2024,internet_use_pct_2024,internet_use_pct_2019,mobile_coverage_4g_pct,electricity_access_pct,mobile_broadband_cost_gni_pct,poverty_rate_pct,education_index,mobile_ownership_pct,coverage_gap,affordability_gap,electricity_gap,skills_gap,ddi_score,typology,intervention_priority
45,West Pokot,Rift Valley,620000,9.1,4.8,26,11.9,8.1,78.0,0.2,58.3,0.169,0.81,0.881,0.8,0.665,infrastructure_gap,critical
44,Turkana,Rift Valley,1000000,12.7,7.1,28,8.8,7.8,76.0,0.22,69.1,0.153,0.78,0.912,0.78,0.6562,infrastructure_gap,critical
42,Mandera,North Eastern,870000,24.9,7.9,33,13.2,7.2,75.0,0.25,48.3,0.081,0.72,0.868,0.75,0.6048,infrastructure_gap,critical
41,Wajir,North Eastern,780000,24.2,8.4,35,14.6,6.8,72.0,0.28,50.8,0.108,0.68,0.854,0.72,0.5905,infrastructure_gap,critical
43,Marsabit,Eastern,450000,16.3,9.2,32,18.9,6.5,71.0,0.3,47.1,0.157,0.65,0.811,0.7,0.5795,infrastructure_gap,high
39,Tana River,Coast,360000,15.5,8.8,36,22.4,6.1,70.0,0.32,48.6,0.205,0.61,0.776,0.68,0.5678,infrastructure_gap,high
36,Samburu,Rift Valley,330000,18.9,10.8,42,24.8,5.5,67.0,0.36,53.4,0.231,0.55,0.752,0.64,0.5432,infrastructure_gap,high
40,Garissa,North Eastern,870000,16.5,9.3,44,29.8,5.3,65.0,0.37,55.2,0.275,0.53,0.702,0.63,0.5342,infrastructure_gap,high
37,Isiolo,Eastern,270000,18.5,10.5,46,28.3,5.1,64.0,0.39,56.8,0.275,0.51,0.717,0.61,0.528,infrastructure_gap,high
38,Lamu,Coast,150000,18.2,10.3,50,35.6,4.7,62.0,0.41,58.1,0.318,0.47,0.644,0.59,0.5055,infrastructure_gap,high
35,Baringo,Rift Valley,660000,20.1,11.8,51,34.7,4.6,60.0,0.43,58.2,0.309,0.46,0.653,0.57,0.498,infrastructure_gap,high
34,Elgeyo Marakwet,Rift Valley,460000,20.8,12.2,56,38.1,4.3,57.0,0.46,60.5,0.352,0.43,0.619,0.54,0.4852,infrastructure_gap,high
